Fall2010-Spring2021
Course{subject='ITEC', courseNumber='1001', instructor='Tacksoo Im', numStudents=25, courseTitle='Intro to Computing', term='Fall 2010', creditHours=4}
Course{subject='ITEC', courseNumber='1001', instructor='Tacksoo Im', numStudents=20, courseTitle='Intro to Computing (Hybrid)', term='Fall 2010', creditHours=4}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=15, courseTitle='Intro to Programming', term='Fall 2010', creditHours=4}
Course{subject='ITEC', courseNumber='1001', instructor='Tacksoo Im', numStudents=25, courseTitle='Intro to Computing', term='Spring 2011', creditHours=4}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=18, courseTitle='Intro to Programming', term='Spring 2011', creditHours=4}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=16, courseTitle='Intro to Programming', term='Spring 2011', creditHours=4}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=12, courseTitle='Intro to Programming', term='Fall 2011', creditHours=4}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=19, courseTitle='Intro to Programming', term='Fall 2011', creditHours=4}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=7, courseTitle='Intro to Programming', term='Fall 2011', creditHours=4}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=17, courseTitle='Intro to Programming', term='Spring 2012', creditHours=4}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=20, courseTitle='Intro to Programming', term='Spring 2012', creditHours=4}
Course{subject='ITEC', courseNumber='2150', instructor='Tacksoo Im', numStudents=10, courseTitle='Intermediate Programming', term='Spring 2012', creditHours=4}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=25, courseTitle='Intro to Programming', term='Fall 2012', creditHours=4}
Course{subject='ITEC', courseNumber='2150', instructor='Tacksoo Im', numStudents=17, courseTitle='Intermediate Programming', term='Fall 2012', creditHours=4}
Course{subject='ITEC', courseNumber='3150', instructor='Tacksoo Im', numStudents=21, courseTitle='Advanced Programming', term='Fall 2012', creditHours=3}
Course{subject='ITEC', courseNumber='2120', instructor='Tacksoo Im', numStudents=20, courseTitle='Intro to Programming', term='Spring 2013', creditHours=4}
Course{subject='ITEC', courseNumber='3150', instructor='Tacksoo Im', numStudents=14, courseTitle='Advanced Programming', term='Spring 2013', creditHours=3}
Course{subject='ITEC', courseNumber='3150', instructor='Tacksoo Im', numStudents=18, courseTitle='Advanced Programming', term='Spring 2013', creditHours=3}
Course{subject='ITEC', courseNumber='3860', instructor='Tacksoo Im', numStudents=8, courseTitle='Software Development I', term='Spring 2013', creditHours=4}
Course{subject='ITEC', courseNumber='1001', instructor='Tacksoo Im', numStudents=25, courseTitle='Intro to Computing', term='Fall 2013', creditHours=4}
